tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes
tt0299986;movie;Historias de Argentina en vivo;Historias de Argentina en vivo;0;2001;\N;114;Documentary,Music,Musical;7.7;50
tt0300453;movie;Red Satin;Satin Rouge;0;2002;\N;100;Drama,Musical;6.8;33
tt0300552;tvMovie;Ti vraki tha paradoseis mori?;Ti vraki tha paradoseis mori?;0;2001;\N;125;Comedy,Musical;7.1;7
tt0300772;tvSeries;He Wai;He Wai;0;2001;\N;\N;Comedy,Family,Musical;5.8;10
tt0300947;movie;Machin: A Full Life;Antonio MachÃ­n: Toda una vida;0;2002;\N;90;Documentary,Musical;8.0;14
tt0301094;movie;Chalo Ishq Larain;Chalo Ishq Larain;0;2002;\N;\N;Comedy,Musical,Romance;7.5;1260
tt0301326;movie;Gaajal;Gaajal;0;2001;\N;66;Musical,Romance;6.2;54
tt0301395;tvMovie;Her Daughter's Voice;Her Daughter's Voice;0;2001;\N;\N;Documentary,Family,Musical;7.1;67
tt0301407;short;Una historia de tango;Una historia de tango;0;2000;\N;24;Musical,Short;6.9;54
tt0301473;tvSpecial;Jennifer Lopez in Concert;Jennifer Lopez in Concert;0;2001;\N;60;Documentary,Music,Musical;7.4;57
tt0301483;tvMovie;Joseph 2000;Joseph 2000;0;2000;\N;\N;Musical;7.7;48
tt0301524;movie;The Other Side of the Bed;El otro lado de la cama;0;2002;\N;114;Comedy,Drama,Musical;7.2;47
tt0301907;movie;Super Star;Super Star;0;2001;\N;\N;Action,Musical,Romance;7.2;33
tt0303719;movie;Basanti;Basanti;0;2000;\N;164;History,Musical,Romance;8.5;22
tt0303785;movie;Bollywood/Hollywood;Bollywood/Hollywood;0;2002;\N;105;Comedy,Drama,Musical;7.4;402
tt0303998;movie;Fatma;Fatma;0;2001;\N;124;Drama,Musical;7.7;372
tt0304413;short;Modern Daydreams;Modern Daydreams;0;2001;\N;16;Comedy,Drama,Musical;7.4;296
tt0304859;tvMiniSeries;TÃ« gjithÃ« me ne;TÃ« gjithÃ« me ne;0;2000;\N;\N;Comedy,Family,Musical;7.1;64
tt0305560;tvMovie;Die fabelhaften Schwestern;Die fabelhaften Schwestern;0;2002;\N;90;Comedy,Musical;7.2;9
tt0305716;movie;Kailangan ko'y ikaw;Kailangan ko'y ikaw;0;2000;\N;130;Comedy,Musical,Romance;8.6;16
tt0305726;tvSpecial;The Kennedy Center Honors: A Celebration of the Performing Arts;The Kennedy Center Honors: A Celebration of the Performing Arts;0;2001;\N;\N;Musical;8.7;15
tt0306359;movie;Transistor Love Story;Monrak Transistor;0;2001;\N;90;Comedy,Drama,Musical;7.4;117
tt0306441;short;Africanize It!;Africanize It!;0;2001;\N;12;Comedy,Musical,Short;7.9;509
tt0306444;movie;Aida of the Trees;Aida degli alberi;0;2001;\N;75;Animation,Family,Musical;7.7;480
tt0306649;short;Choo-choo-2;Chucha-2;0;2001;\N;27;Adventure,Animation,Musical;7.7;37
tt0306840;movie;Koi Mere Dil Se Poochhe;Koi Mere Dil Se Poochhe;0;2002;\N;165;Musical,Romance,Thriller;6.2;127
tt0306855;movie;Style;Style;0;2001;\N;157;Comedy,Musical,Mystery;6.7;7
tt0307599;movie;Turn It Up;Turn It Up;0;2002;\N;89;Drama,Musical;7.2;33
tt0307751;tvSeries;Tango Lover;Franco Buenaventura, el profe;0;2002;\N;60;Comedy,Drama,Musical;7.3;35
tt0307820;tvSeries;RÃ­ RÃ¡;RÃ­ RÃ¡;0;2001;\N;\N;Comedy,Musical;8.6;45
tt0307873;movie;Raaz;Raaz;0;2002;\N;151;Drama,Horror,Musical;1.1;13
tt0307878;short;The Animal Band;The Animal Band;0;2003;\N;44;Family,Musical,Short;6.1;15
tt0308347;movie;Yes, I Have Loved As Well;Haan Maine Bhi Pyaar Kiya;0;2002;\N;174;Drama,Musical,Romance;7.7;67
tt0308529;tvSpecial;Madame Dasima;Madame Dasima;0;2001;\N;\N;Comedy,Drama,Musical;6.0;27
tt0308897;tvMovie;Simpl Spezial;Simpl Spezial;0;2002;\N;65;Comedy,Music,Musical;7.7;77
tt0309725;movie;Yes Nurse! No Nurse!;Ja zuster, nee zuster;0;2002;\N;100;Comedy,Musical;8.5;11
tt0310484;tvSeries;Los 10 +;Los 10 +;0;2002;\N;\N;Musical;7.9;21
tt0310486;tvSeries;Rocks;Rocks;0;2002;\N;\N;Musical;7.5;21
tt0311337;movie;Inth Ka Jawab Patthar;Inth Ka Jawab Patthar;0;2002;\N;\N;Action,Musical;7.9;44
tt0311594;movie;Nuvvu Naaku Nachchav;Nuvvu Naaku Nachchav;0;2001;\N;184;Comedy,Family,Musical;6.5;11
tt0311729;tvMovie;Rodoslov jednog Valcera;Rodoslov jednog Valcera;0;2002;\N;55;Drama,Musical;7.0;10
tt0312275;movie;The Original Cast Album;The Original Cast Album;0;2001;\N;\N;Comedy,Drama,Musical;6.3;14
tt0312283;movie;VaktmÃ¤staren och professorn;VaktmÃ¤staren och professorn;0;2002;\N;\N;Comedy,Musical;7.0;27
tt0312571;tvMovie;Alegria: Cirque du Soleil;Alegria: Cirque du Soleil;0;2001;\N;93;Family,Music,Musical;5.0;8
tt0313215;tvMovie;Ariadne auf Naxos;Ariadne auf Naxos;0;2001;\N;138;Comedy,Drama,Musical;7.9;76
tt0313491;tvEpisode;"New York City Opera - The Gershwins' ""Porgy and Bess""";"New York City Opera - The Gershwins' ""Porgy and Bess""";0;2002;\N;160;Music,Musical;7.8;81
tt0313974;movie;Divorce: The Musical;Divorce: The Musical;0;2001;\N;86;Comedy,Musical;8.1;153
tt0314012;movie;Dance Challenge;Le dÃ©fi;0;2002;\N;94;Comedy,Drama,Musical;7.6;81
tt0314154;movie;Harmonia;Harmonia;0;2000;\N;91;Documentary,Musical;6.4;7
tt0314329;short;Loredasia;Loredasia;0;2000;\N;12;Musical,Short;5.6;11
tt0314366;movie;Megamalhar;Megamalhar;0;2001;\N;90;Musical,Romance;8.5;8
tt0314676;movie;The Singing Detective;The Singing Detective;0;2003;\N;109;Comedy,Crime,Musical;9.2;3247
tt0314909;video;Xuxa SÃ³ Para Baixinhos 3;Xuxa SÃ³ Para Baixinhos 3;0;2002;\N;\N;Family,Musical,Western;6.6;62
tt0316154;movie;Lal Salaam;Lal Salaam;0;2002;\N;131;Action,Drama,Musical;6.1;7
tt0316502;movie;Rodrigo, la pelÃ­cula;Rodrigo, la pelÃ­cula;0;2001;\N;88;Drama,Musical,Romance;7.9;16
tt0316911;movie;Yeh Kaisi Mohabbat;Yeh Kaisi Mohabbat;0;2002;\N;160;Drama,Musical,Romance;6.9;18
tt0317614;movie;Hae-jeok, Disco King;Hae-jeok, discowang doeda;0;2002;\N;106;Comedy,Drama,Musical;7.6;62
tt0318102;short;Symphony;Symphony;0;2001;\N;7;Comedy,Fantasy,Musical;7.9;39
tt0318742;movie;Ten Minutes Older: The Cello;Ten Minutes Older: The Cello;0;2002;\N;146;Drama,Music,Musical;7.8;6
tt0318956;movie;Tum Se Achcha Kaun Hai;Tum Se Achcha Kaun Hai;0;2002;\N;150;Drama,Musical,Romance;7.2;11
tt0320995;tvSeries;TriunfomanÃ­a;TriunfomanÃ­a;0;2002;\N;\N;Musical;7.3;55
tt0321494;movie;Bollywood Queen;Bollywood Queen;0;2002;\N;89;Musical,Romance;5.4;5
tt0321566;movie;BÃ¡jecnÃ¡ show;BÃ¡jecnÃ¡ show;0;2002;\N;72;Animation,Family,Musical;5.8;6
tt0323122;movie;Luca vive;Luca vive;0;2002;\N;111;Drama,Musical;8.2;38
tt0323303;movie;Mowaten we mokhber we haramy;Mowaten we mokhber we haramy;0;2001;\N;135;Comedy,Drama,Musical;7.9;147
tt0325041;movie;Badhaai Ho Badhaai;Badhaai Ho Badhaai;0;2002;\N;155;Comedy,Drama,Musical;7.5;6
tt0325352;movie;I'll Be There;I'll Be There;0;2003;\N;105;Comedy,Musical,Romance;8.1;151
tt0325653;short;The Young Girl and the Clouds;La jeune fille et les nuages;0;2001;\N;7;Animation,Drama,Musical;7.2;61
tt0326576;movie;Humraaz;Humraaz;0;2002;\N;173;Action,Musical,Romance;6.8;45
tt0326660;short;Intervalli chiaroscuri;Intervalli chiaroscuri;0;2002;\N;4;Drama,Musical,Short;6.8;27
tt0326734;video;Apna Punjab Hovey;Apna Punjab Hovey;0;2001;\N;\N;Music,Musical;6.6;27
tt0326805;movie;Chori Chori;Chori Chori;0;2003;\N;135;Comedy,Drama,Musical;7.1;46
tt0327071;movie;Om Jai Jagadish;Om Jai Jagadish;0;2002;\N;172;Drama,Musical;9.6;7
tt0327255;movie;Yeh Dil Aap Ka Huwa;Yeh Dil Aap Ka Huwa;0;2002;\N;176;Musical,Romance;7.1;7
tt0327443;short;As Time Goes By;As Time Goes By;0;2002;\N;8;Comedy,Drama,Musical;7.6;307
tt0328503;movie;Taj Mahal: An Eternal Love Story;Taj Mahal: An Eternal Love Story;0;2005;\N;164;Drama,History,Musical;7.0;11
tt0328729;movie;Dil Maange More!!!;Dil Maange More!!!;0;2004;\N;123;Family,Musical,Romance;7.6;456
tt0330217;movie;Dil Ka Rishta;Dil Ka Rishta;0;2003;\N;150;Drama,Musical,Romance;5.0;2856
tt0330464;video;It's a Haunted Happenin'!;It's a Haunted Happenin'!;0;2002;\N;90;Comedy,Horror,Musical;7.7;55
tt0331004;short;Toothpaste;Toothpaste;0;2002;\N;5;Comedy,Musical,Short;7.8;43
tt0331366;short;A Visit from the Incubus;A Visit from the Incubus;0;2001;\N;26;Horror,Musical,Short;8.8;19
tt0332743;movie;SalomÃ©;SalomÃ©;0;2002;\N;85;Musical;7.8;53
tt0332766;movie;Sur;Sur: The Melody of Life;0;2002;\N;\N;Drama,Musical,Romance;6.9;36
tt0335016;tvMovie;Contact;Contact;0;2002;\N;120;Musical;7.7;410
tt0335044;movie;Dil Vil Pyar Vyar;Dil Vil Pyar Vyar;0;2002;\N;150;Drama,Musical,Romance;7.4;162
tt0335408;movie;Shararat;Shararat;0;2003;\N;\N;Musical;7.0;26
tt0336946;movie;Off;Off;0;2002;\N;78;Musical,Sci-Fi,Thriller;7.8;5
tt0337127;short;Ruta Destroy;Ruta Destroy;0;2002;\N;16;Musical,Short;8.0;206
tt0337404;short;El vestido;El vestido;0;2000;\N;19;Musical,Short;7.7;15
tt0337564;movie;1972;1972;0;2006;\N;100;Comedy,Musical,Romance;7.6;32
tt0337887;movie;Confessions of an Action Star;Sledge: The Untold Story;0;2005;\N;83;Action,Comedy,Musical;8.4;54
